Job ID,Dataset,Preserve order,Parallelism,Num cpus,Batch size map_batches(),Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
3000000,10kds,False,300,6,8,6021160000,10000,300,48.437832832336426,206.45019430605365,45.5821681022644,219.384035826572
3000000,10kds,False,300,6,16,6021160000,10000,300,47.86860728263855,208.9051795669621,45.38242506980896,220.34961738200684
3000000,10kds,False,300,6,32,6021160000,10000,300,46.50907015800476,215.0118238448352,43.96408152580261,227.45840815828208
3000000,10kds,False,300,6,64,6021160000,10000,300,49.29881644248962,202.8446263342989,46.81823706626892,213.59198095916105
3000000,10kds,False,300,6,128,6021160000,10000,100,50.658488273620605,197.40028454831133,48.17771124839783,207.5648622750329
3000000,10kds,False,300,6,256,6021160000,10000,43,50.96873927116394,196.19869243376783,48.55473971366882,205.95311722338124
3000000,10kds,False,400,6,8,6021160000,10000,400,47.394705057144165,210.9940337837934,44.483314037323,224.8033946303925
3000000,10kds,False,400,6,16,6021160000,10000,400,49.4569354057312,202.1961109794356,47.12896203994751,212.1837521378847
3000000,10kds,False,400,6,32,6021160000,10000,400,50.72232604026794,197.15184181539905,47.887341022491455,208.8234549356845
3000000,10kds,False,400,6,64,6021160000,10000,200,48.42110824584961,206.52150192900933,46.008872270584106,217.3493829883226
3000000,10kds,False,400,6,128,6021160000,10000,80,51.68496799468994,193.4798528080232,48.93680906295776,204.3451584089777
03000000,10kds,False,400,6,256,6021160000,10000,40,56.51291036605835,176.9507168402001,54.073331356048584,184.93404695476397
